name,source,url,category,abv,price,quantity,single_vol,total_vol,ml_per_dollar,alcohol_vol,alc_per_dollar
Granville 2tides Session,The Beer Store,http://www.thebeerstore.ca/beers/gib-two-tides-india-ale,Ale,4.6,3.1,1,473,473,152.58,21,7.02
Granville 2tides Session,The Beer Store,http://www.thebeerstore.ca/beers/gib-two-tides-india-ale,Ale,4.6,17.5,6,473,2838,162.17,130,7.46
Granville 2tides Session,The Beer Store,http://www.thebeerstore.ca/beers/gib-two-tides-india-ale,Ale,4.6,34.5,12,473,5676,164.52,261,7.57
Granville 2tides Session,The Beer Store,http://www.thebeerstore.ca/beers/gib-two-tides-india-ale,Ale,4.6,65.95,24,473,11352,172.13,522,7.92
Granville English Bay,The Beer Store,http://www.thebeerstore.ca/beers/granville-english-bay-pale,Ale,5.0,3.1,1,473,473,152.58,23,7.63
Granville English Bay,The Beer Store,http://www.thebeerstore.ca/beers/granville-english-bay-pale,Ale,5.0,17.5,6,473,2838,162.17,141,8.11
Granville English Bay,The Beer Store,http://www.thebeerstore.ca/beers/granville-english-bay-pale,Ale,5.0,34.5,12,473,5676,164.52,283,8.23
Granville English Bay,The Beer Store,http://www.thebeerstore.ca/beers/granville-english-bay-pale,Ale,5.0,14.15,6,341,2046,144.59,102,7.23
Granville English Bay,The Beer Store,http://www.thebeerstore.ca/beers/granville-english-bay-pale,Ale,5.0,26.25,12,341,4092,155.89,204,7.79
Granville English Bay,The Beer Store,http://www.thebeerstore.ca/beers/granville-english-bay-pale,Ale,5.0,49.95,24,341,8184,163.84,409,8.19
Granville Hefeweizen,The Beer Store,http://www.thebeerstore.ca/beers/granville-robson-hefeweizen,Ale,5.0,3.15,1,473,473,150.16,23,7.51
Granville Hefeweizen,The Beer Store,http://www.thebeerstore.ca/beers/granville-robson-hefeweizen,Ale,5.0,17.5,6,473,2838,162.17,141,8.11
Granville Hefeweizen,The Beer Store,http://www.thebeerstore.ca/beers/granville-robson-hefeweizen,Ale,5.0,34.5,12,473,5676,164.52,283,8.23
Granville Hefeweizen,The Beer Store,http://www.thebeerstore.ca/beers/granville-robson-hefeweizen,Ale,5.0,65.95,24,473,11352,172.13,567,8.61
Granville Hefeweizen,The Beer Store,http://www.thebeerstore.ca/beers/granville-robson-hefeweizen,Ale,5.0,14.15,6,341,2046,144.59,102,7.23
Granville Hefeweizen,The Beer Store,http://www.thebeerstore.ca/beers/granville-robson-hefeweizen,Ale,5.0,26.95,12,341,4092,151.84,204,7.59
Granville Hefeweizen,The Beer Store,http://www.thebeerstore.ca/beers/granville-robson-hefeweizen,Ale,5.0,49.95,24,341,8184,163.84,409,8.19
Granville Lions Summer,The Beer Store,http://www.thebeerstore.ca/beers/granville-lions-summer,Ale,4.7,3.15,1,473,473,150.16,22,7.06
Granville Lions Summer,The Beer Store,http://www.thebeerstore.ca/beers/granville-lions-summer,Ale,4.7,17.5,6,473,2838,162.17,133,7.62
Granville Lions Summer,The Beer Store,http://www.thebeerstore.ca/beers/granville-lions-summer,Ale,4.7,34.5,12,473,5676,164.52,266,7.73
Granville Lions Summer,The Beer Store,http://www.thebeerstore.ca/beers/granville-lions-summer,Ale,4.7,65.95,24,473,11352,172.13,533,8.09
Granville Lions Summer,The Beer Store,http://www.thebeerstore.ca/beers/granville-lions-summer,Ale,4.7,148.0,1,30000,30000,202.7,1410,9.53
Granville Lions Winter,The Beer Store,http://www.thebeerstore.ca/beers/lions-winter-ale,Ale,5.5,3.15,1,473,473,150.16,26,8.26
Granville Lions Winter,The Beer Store,http://www.thebeerstore.ca/beers/lions-winter-ale,Ale,5.5,17.5,6,473,2838,162.17,156,8.92
